STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C,bad,frequencyBin,Pseudohomophone,category,ELP_FreqHAL,ELP_OrthN,ELP_PhonoN,ELP_MeanOrthNFreq,ELP_Concreteness,ELP_EmotionalValence,ELP_EmotionalArousal,ELP_MeanBigramCount,ELP_NPhonemes,ELP_NSyllables,ELP_PartOfSpeech,ELP_MeanRT,ELP_MeanAcc,ELPMeanAcc
juppe,5,0,0,0,5080.19,261.6,99.4,14.75,3.55,1,160365.12,23095.6,6638.83,1159.25,897.23,138.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
kiess,5,0,0,0,9445.44,533.8,784.46,20.25,104.49,2.67,277060.44,43736.2,15746.14,4968,3173.64,1453,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
knean,5,0,1,1.19,5971.95,195.2,1025.48,28.25,64.69,4.33,301527.86,37642.8,28841.01,3224.25,928.33,107,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
knnen,5,0,0,0,6378.13,335,910.08,31.5,22.17,1,282515.43,37044.2,18221.92,2799.25,339.53,98.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
kntee,5,0,0,0,9354.04,378.2,1275.73,28,16.58,1.33,350523.08,41827.4,20192.05,3478,1487.58,381.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
kveds,5,0,0,0,6666.84,427.6,622.46,30.75,72.94,3.67,204738.81,29247.6,18253.08,2812.75,654.98,63.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
laing,5,0,1,79.36,8639.1,366.6,2560.96,58,974.53,11.67,245595.49,35040.8,35875.33,6469.75,11994.85,2565.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
laken,5,0,5,71.71,8015.89,444.2,1354.11,44,375.91,10,278192.11,35734.4,18583.81,2906,1288.81,143.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
larth,5,0,2,81.62,6805.22,390.8,1471.21,56.75,513.26,8.67,286322.51,32241.8,46006.54,2975.5,2325.45,333.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
leaff,5,0,2,1.81,5283.48,283.8,1347.82,40.75,303.29,6.67,252554.92,30087.8,14903.25,2346,1294.11,179,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
